dan wickham	" Kamala Harris  grew up in the most upscale neighborhood, which, at the time she lived there, was not only the nicest neighborhood in Montreal, but was the richest one in all of Canada."  Source:  https:// 08/03/morris-kamala-canada-how-harris-uses-fake-persona-cultural-appropriation-advance-career/ … 
Looo	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  @harris  fired many many people bc of faucci's covid virus,proved in healthy people,nothing but a bad cold. ⁦ @JDVance ⁩ is 100% right. ⁦ @POTUS ⁩ ⁦not for you! 
sally barnhart(watts	ALL IN:  Kamala Harris  Goes Full On Terror in Dearborn  https:// -kamala-harris-goes-full-on-terror-in-dearborn.html/ …  via  @pamelageller 
hcl	Kamala Harris  has an undergrad degree in economics by the way. 
Tammy Music	Fuck  kamala Harris 
Richard Miscrea	Morgan, I hope you read the replies.  If you don't, you are just posting propaganda.   Kamala Harris  is incompetent.  She cannot keep us out of WW III, and it may have already begun. 
V.Streifel	More Shamala lies??? Jeff Clark: I Can‘t Find Evidence  Kamala Harris  Led the Prosecution of a Single Case  https:// 09/25/jeff-clark-i-cant-find-evidence-kamala-harris-led-the-prosecution-of-a-single-case/ …  via  @BreitbartNews 
TrumpEpstein	The best thing we could do is get  Kamala Harris  elected then mass abandon this app and let it burn to the ground and just move on. This app is toxic and it encourages toxicity. It is tearing apart the social fabric of society and the owner is a disinformation chaos agent. 
Joan Crowley	At the very least she should be supporting  Kamala Harris .... 
dan wickham	" Kamala Harris  grew up in the most upscale neighborhood, which, at the time she lived there, was not only the nicest neighborhood in Montreal, but was the richest one in all of Canada."  Source:  https:// 08/03/morris-kamala-canada-how-harris-uses-fake-persona-cultural-appropriation-advance-career/ … 
Looo	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  @harris  fired many many people bc of faucci's covid virus,proved in healthy people,nothing but a bad cold. ⁦ @JDVance ⁩ is 100% right. ⁦ @POTUS ⁩ ⁦not for you! 
sally barnhart(watts	ALL IN:  Kamala Harris  Goes Full On Terror in Dearborn  https:// -kamala-harris-goes-full-on-terror-in-dearborn.html/ …  via  @pamelageller 
TrumpEpstein	The best thing we could do is get  Kamala Harris  elected then mass abandon this app and let it burn to the ground and just move on. This app is toxic and it encourages toxicity. It is tearing apart the social fabric of society and the owner is a disinformation chaos agent. 
Joan Crowley	At the very least she should be supporting  Kamala Harris .... 
dan wickham	" Kamala Harris  grew up in the most upscale neighborhood, which, at the time she lived there, was not only the nicest neighborhood in Montreal, but was the richest one in all of Canada."  Source:  https:// 08/03/morris-kamala-canada-how-harris-uses-fake-persona-cultural-appropriation-advance-career/ … 
Looo	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  @harris  fired many many people bc of faucci's covid virus,proved in healthy people,nothing but a bad cold. ⁦ @JDVance ⁩ is 100% right. ⁦ @POTUS ⁩ ⁦not for you! 
sally barnhart(watts	ALL IN:  Kamala Harris  Goes Full On Terror in Dearborn  https:// -kamala-harris-goes-full-on-terror-in-dearborn.html/ …  via  @pamelageller 
Michael J. Fell	ALL IN:  Kamala Harris  Goes Full On Terror in Dearborn  https:// -kamala-harris-goes-full-on-terror-in-dearborn.html/ …  via  @pamelageller 
Belle Yves (pinned tweet)	Again, you simply don't want her to criticize  Kamala Harris . Please just admit that. You are scared of Donald Trump and will accept anything that Democrats do so long as the threat of Donald Trump is looming. 
luisamelendez	The new one is  Kamala Harris ! Hello? 
Bill Licata	Can we get Selena Gomez and Beyoncé to endorse  Kamala Harris  and Tim Walz on Instagram then post how to register to vote on their Instagram accounts? They could be the difference in Texas and Florida to oust Rick Scott and Ted Cruz from the Senate 
Charles R Downs	Nevada Sen. Jacky Rosen Uses Police To Block Reporter’s Questions About  Kamala Harris ’s Plan to Defund The Police 
David Clark	Kamala Harris  Struggles to Answer Economic Questions on MSNBC 
Darrell "Stop The Haitian Hate" West	Kamala Harris  is our VP and the morons on the Right thing.  Kamala Harris  is President. 
George Sumbler	Reacting to  Kamala Harris 's FIRST SOLO INTERVIEW with  @ABC   #dotheylikeus ...  https:// =UEcIncga7ftTbvcQ …  via  @YouTube 
joe miller	Remember the last time Zelenskyy visited Congress? A kiss for Nancy Pelosi while  Kamala Harris  applauds. Following the money  .  @RepLuna   @HagemanforWY 
I Am Blue	We're done with Rage Politics!  Every time you see MAGA signs & their candidates, let it be a reminder that it's time to "Turn the Page."- VP  Kamala Harris    #YesWeKam 
Ralph Prange	My Urgent Warning About  Kamala Harris   https:// =fBlUT1FvxltEPte8 …  via  @YouTube 
Sheryl Mendenhall	"Barack Obama Has Close Call with Armed Man In Alleged Security Breach Days Before  Kamala Harris  Campaign Office Is Shot Up"  #SmartNews 
Lesley Abravanel	5 takeaways from  Kamala Harris 's economic interview with  @SRuhle : No, Trump doesn’t care about women, the middle class, the working class, or anyone but rich people. 
Cup o' Sooth	Kamala Harris  has been in office for nearly four years, and claims she will fix the problems she created.  You mean they executed a palace coup in hopes no one would figure out who Kamala is.   You're pathetic. 
Eileen Kritz	Don't be fooled by misleading media! President Trump has proven time and again that he knows how to handle the economy. His policies are better for average Americans than  Kamala Harris '. Let's make America great again in 2024!  #Trump2024 
Star X	Donald Trump's "drill, baby, drill" mantra portrays fossil fuels as the magic road to lower energy prices. He's exactly wrong. Solar, wind and other renewable sources are.  If You Want Cheaper Energy, Vote For  Kamala Harris 
Christopher Fishell	She is.  It is intentional and methodical "linguistic convergence" by  Kamala Harris . It is not Presidential it is a carpetbagger's persuasion technique. 
‍	Aja Wilson,  Kamala Harris , Serena from Love Island? This is a great year to be a winner  
Bryan Fichter	@TheRickWilson   Kamala Harris  is talking about tax cuts for middle-class families.  Donald Trump is talking about how foreign furniture manufacturers want him dead.  It's a toss-up ! 
Maria Wise	You are right Tim Walz, we can NOT afford 4 more years of  Kamala Harris  destroying our country!  We all know that we were better off 4 years ago! Vote Trump on November 5th  
Hania	That's a big endorsement from General Stanley McChrystal for  Kamala Harris . Endorsements like these can have a significant impact on the election landscape. It will be interesting to see how this endorsement shapes the upcoming events. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Maria Wise	You are right Tim Walz, we can NOT afford 4 more years of  Kamala Harris  destroying our country!  We all know that we were better off 4 years ago! Vote Trump on November 5th  
Hania	That's a big endorsement from General Stanley McChrystal for  Kamala Harris . Endorsements like these can have a significant impact on the election landscape. It will be interesting to see how this endorsement shapes the upcoming events. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Maria Wise	You are right Tim Walz, we can NOT afford 4 more years of  Kamala Harris  destroying our country!  We all know that we were better off 4 years ago! Vote Trump on November 5th  
Hania	That's a big endorsement from General Stanley McChrystal for  Kamala Harris . Endorsements like these can have a significant impact on the election landscape. It will be interesting to see how this endorsement shapes the upcoming events. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Maria Wise	You are right Tim Walz, we can NOT afford 4 more years of  Kamala Harris  destroying our country!  We all know that we were better off 4 years ago! Vote Trump on November 5th  
Hania	That's a big endorsement from General Stanley McChrystal for  Kamala Harris . Endorsements like these can have a significant impact on the election landscape. It will be interesting to see how this endorsement shapes the upcoming events. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Maria Wise	You are right Tim Walz, we can NOT afford 4 more years of  Kamala Harris  destroying our country!  We all know that we were better off 4 years ago! Vote Trump on November 5th  
Hania	That's a big endorsement from General Stanley McChrystal for  Kamala Harris . Endorsements like these can have a significant impact on the election landscape. It will be interesting to see how this endorsement shapes the upcoming events. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Simon	If  Kamala Harris  wins, Bitcoin will spike to $120,000. 
Dan Schneider	And dont forget, Biden tasked  Kamala Harris  with being the AI Czar. 
b	Kamala Harris  cares about illegal migrants more than the American people. 
Hunter Taylor	Stanley McChrystal: Why  Kamala Harris  Has Won Me Over  https:// nley-mcchrystal-why-kamala-harris-has-won-me-over/ …  Great analysis of why Harris should be elected!!! 
Judy Greenwood No guns, traitors, Maggots!	Kamala Harris  Drops UNEXPECTED Bombshell On MITCH MCCONNELL  https:// =CcVrsYYjzW_plBr7 …  via  @YouTube 
Martica	67 days:  Kamala Harris  has yet to do formal press conference since emerging as Democratic nominee 
Amee Vanderpool	The NYT, who loves to normalize Trump, is complaining about the  Kamala Harris  MSNBC interview, claiming she dodged questions. (Here's the transcript showing the answers.) They say she gives no answer to funding and the next sentence they post is her answer the question. WOW. 
Rich	VP  Kamala Harris  answered every question with complete coherent answers.  If you haven't seen this interview, it's a must watch.  The media need to hold tRump to the same standards. Press him to answer your questions and stop letting him answer with word salad! 
Joe Killian	She will raise taxes on the people that can least afford it to pay for her hairbrained ill-conceived stupidity just like every other democrat has ever done! The wealthy donors own her!! Kamala Harris  stumped by question about part of her economic policy  https:// itics/kamala-harris-stumped-by-question-about-part-of-her-economic-policy/ss-AA1rf53d?ocid=socialshare#image=7 … 
CallieBenson	JD Vance takes apparent jab at  Kamala Harris  saying she’s from a working class family  https:// nce-takes-apparent-jab-kamala-harris-saying-shes-from-working-class-family …   #FoxNews 
Kareem Aweet	My idea for an ad: Kamala Harris  has let millions of dangerous illegal immigrants into the country, and they are at your house  right now raping your children and eating all of your precious burrito toppings. 
JG (@hocsoc1 on TruthSocial)	Shocking Video Emerges:  Kamala Harris  Caught Repeatedly Chanting ‘Down With Deportation!’                 PAY ATTENTION AMERICA…while there’s still time to vote  #TrumpVance2024 | Congress Report  https:// -emerges-kamala-harris-caught-repeatedly-chanting-down-with-deportation/ … 
Woodrow Higdon	AG  KAMALA HARRIS , A SO CALLED ATTORNEY, WAS CRIMINALLY CONSPIRING FOR YEARS WITH EVERY DIRTY ATTORNEY IN CA, TO DEFRAUD, JAIL OR RAPE MILLIONS OF CITIZENS TO PROTECT UNION MONEY FLOW TO DEMOCRAT PARTY OF SLAVERY CAMPAIGNS, INCLUDING HERS. THE PROOF  https:// TE-BAR-DIRECTOR-WHISTLEBLOWER.html … 
Follow @JodyField	ALSO  http://   Kamala Harris  hit with major new investigation for allegedly using taxpayer money to promote campaign  http://  ~ Story Below  #world   #USA   #news 
Steve Guest	Kamala Harris  is economically illiterate. 
Simon	If  Kamala Harris  wins, Bitcoin will spike to $120,000. 
Dan Schneider	And dont forget, Biden tasked  Kamala Harris  with being the AI Czar. 
b	Kamala Harris  cares about illegal migrants more than the American people. 
Hunter Taylor	Stanley McChrystal: Why  Kamala Harris  Has Won Me Over  https:// nley-mcchrystal-why-kamala-harris-has-won-me-over/ …  Great analysis of why Harris should be elected!!! 
Judy Greenwood No guns, traitors, Maggots!	Kamala Harris  Drops UNEXPECTED Bombshell On MITCH MCCONNELL  https:// =CcVrsYYjzW_plBr7 …  via  @YouTube 
Martica	67 days:  Kamala Harris  has yet to do formal press conference since emerging as Democratic nominee 
Amee Vanderpool	The NYT, who loves to normalize Trump, is complaining about the  Kamala Harris  MSNBC interview, claiming she dodged questions. (Here's the transcript showing the answers.) They say she gives no answer to funding and the next sentence they post is her answer the question. WOW. 
Rich	VP  Kamala Harris  answered every question with complete coherent answers.  If you haven't seen this interview, it's a must watch.  The media need to hold tRump to the same standards. Press him to answer your questions and stop letting him answer with word salad! 
Joe Killian	She will raise taxes on the people that can least afford it to pay for her hairbrained ill-conceived stupidity just like every other democrat has ever done! The wealthy donors own her!! Kamala Harris  stumped by question about part of her economic policy  https:// itics/kamala-harris-stumped-by-question-about-part-of-her-economic-policy/ss-AA1rf53d?ocid=socialshare#image=7 … 
